Activation,Avg Test Accuracy,Avg Test Loss,Best LR
PReLULR0001,0.950501 ± 0.006043,0.167683,0.001
SingleParamSExpoReLU_alpha1.0LR0002,0.950072 ± 0.006102,0.167723,0.002
ELULR0002,0.950072 ± 0.005721,0.168566,0.002
ContinuousSExpoReLU_a1_b0.1LR0002,0.949785 ± 0.004807,0.173532,0.002
ContinuousSExpoReLU_a1_b0.2LR0001,0.949785 ± 0.005739,0.168630,0.001
PReLULR0002,0.949714 ± 0.005453,0.171097,0.002
TanhLR0002,0.949642 ± 0.006423,0.167433,0.002
ReLULR0002,0.949285 ± 0.005993,0.169420,0.002
ContinuousSExpoReLU_a1_b0.01LR0001,0.949213 ± 0.006703,0.170832,0.001
ContinuousSExpoReLU_a1_b0.1LR0001,0.949070 ± 0.006340,0.168654,0.001
ContinuousSExpoReLU_a1_b0.05LR0001,0.948927 ± 0.005431,0.170135,0.001
ContinuousSExpoReLU_a1_b0.05LR0002,0.948784 ± 0.004822,0.173325,0.002
LeakyReLULR0001,0.948641 ± 0.007900,0.170914,0.001
ContinuousSExpoReLU_a1_b0.2LR0002,0.948641 ± 0.005196,0.173446,0.002
ContinuousSExpoReLU_a1_b0.01LR0002,0.948569 ± 0.006672,0.173941,0.002
LeakyReLULR0002,0.948498 ± 0.005705,0.170624,0.002
SingleParamSExpoReLU_alpha1.0LR0001,0.947997 ± 0.007506,0.171984,0.001
ContinuousSExpoReLU_a1_b0.1LR00005,0.947854 ± 0.006838,0.171117,0.0005
ContinuousSExpoReLU_a1_b0.2LR00005,0.947496 ± 0.007558,0.171951,0.0005
ContinuousSExpoReLU_a1_b0.01LR00005,0.947139 ± 0.007231,0.172370,0.0005
ReLULR0001,0.946781 ± 0.006262,0.169994,0.001
ContinuousSExpoReLU_a1_b0.05LR00005,0.946495 ± 0.007970,0.171520,0.0005
SingleParamSExpoReLU_alpha0.05LR0002,0.945064 ± 0.007521,0.172955,0.002
LeakyReLULR00005,0.945064 ± 0.006640,0.172266,0.0005
ELULR0001,0.944993 ± 0.008397,0.173866,0.001
SingleParamSExpoReLU_alpha0.1LR0002,0.944778 ± 0.007958,0.172016,0.002
SingleParamSExpoReLU_alpha0.01LR0002,0.944707 ± 0.007299,0.172477,0.002
SingleParamSExpoReLU_alpha0.2LR0002,0.944707 ± 0.007708,0.171523,0.002
TanhLR0001,0.944063 ± 0.007377,0.174402,0.001
ReLULR00005,0.943491 ± 0.007577,0.173139,0.0005
PReLULR00005,0.942489 ± 0.006914,0.175078,0.0005
SingleParamSExpoReLU_alpha0.1LR0001,0.940415 ± 0.006174,0.175281,0.001
SingleParamSExpoReLU_alpha0.2LR0001,0.940343 ± 0.006510,0.175422,0.001
SingleParamSExpoReLU_alpha0.01LR0001,0.940129 ± 0.005727,0.175317,0.001
SingleParamSExpoReLU_alpha0.05LR0001,0.939914 ± 0.006053,0.175301,0.001
SingleParamSExpoReLU_alpha1.0LR00005,0.938555 ± 0.005148,0.179089,0.0005
ELULR00005,0.938412 ± 0.005007,0.179479,0.0005
TanhLR00005,0.938197 ± 0.004885,0.179998,0.0005
SingleParamSExpoReLU_alpha0.2LR00005,0.937697 ± 0.005513,0.180509,0.0005
SingleParamSExpoReLU_alpha0.1LR00005,0.937482 ± 0.004916,0.180400,0.0005
SingleParamSExpoReLU_alpha0.01LR00005,0.937268 ± 0.005851,0.180587,0.0005
SingleParamSExpoReLU_alpha0.05LR00005,0.937268 ± 0.005358,0.180703,0.0005
